nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;secteur;catégorie;type
Toulouse Métropole;2,43E+13;;;AIRBUS SAS;3,83E+13;Subvention de Fonctionnement;124446.42;aide en numéraire;échelonné;25/10/2023;;non;Aéronautique;Construction aéronautique;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;ALEGRIA;8,34E+13;Subvention d'équipement;1000.0;aide en numéraire;unique;17/04/2023;;non;Restauration;Restauration traditionnelle;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;A.S.E.I. SPORTS;4,99E+13;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;07/12/2023;;non;Sport;Autres activités liées au sport;Association loi 1901
Toulouse Métropole;2,43E+13;;;ASPEC-SERVIGAZ;4,40E+13;Subvention d'équipement;2000.0;aide en numéraire;unique;15/09/2023;;non;Énergie;Services énergétiques;Société à responsabilité limitée (SARL)
Toulouse Métropole;2,43E+13;;;ASS ENTRAIDE PUPILLES DE L'ETAT;4,79E+13;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;21/09/2023;;non;Action sociale;Association d’entraide;Association loi 1901
Toulouse Métropole;2,43E+13;;;CONSEIL CITOYEN DES PRADETTES;9,23E+13;Subvention de Fonctionnement;1764.0;aide en numéraire;unique;16/11/2023;;non;Développement local;Conseil de quartier;Association loi 1901
Toulouse Métropole;2,43E+13;;;CONSEIL CITOYEN VIVIER CITOYENS;8,22E+13;Subvention de Fonctionnement;1554.0;aide en numéraire;unique;31/10/2023;;non;Développement local;Conseil de quartier;Association loi 1901
Toulouse Métropole;2,43E+13;;;PEACE AND SPORT;7,93E+13;Subvention de Fonctionnement;5052.19;aide en numéraire;échelonné;15/09/2023;;non;Action humanitaire;ONG;Association loi 1901
Toulouse Métropole;2,43E+13;;;ASSO ET CIE;9,18E+13;Subvention d'équipement;300.0;aide en numéraire;unique;21/11/2023;;non;numérique;Conseil en systèmes et logiciels informatiques;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;ATMO OCCITANIE;3,09E+13;Subvention de Fonctionnement;170000.0;aide en numéraire;échelonné;28/02/2023;;non;Environnement;Qualité de l'air;Association loi 1901
Toulouse Métropole;2,43E+13;;;BGE SUD OUEST;3,16E+13;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;19/09/2023;;non;Entreprise;Création d'entreprise;Association loi 1901
Toulouse Métropole;2,43E+13;;;CANALART;4,98E+13;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;04/07/2023;;non;Culture;Arts du spectacle vivant;Association loi 1901
Toulouse Métropole;2,43E+13;;;CARMES CORP;9,15E+13;Subvention d'équipement;913.0;aide en numéraire;unique;21/11/2023;;non;Conseil;Conseils de gestion;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;CATINOV;9,05E+13;Subvention d'équipement;2000.0;aide en numéraire;unique;29/06/2023;;non;Conseil;Conseil pour les affaires et autres conseils de gestion;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;CENTRE DEPANNAGE SERVICE;3,81E+13;Subvention d'équipement;6000.0;aide en numéraire;unique;07/07/2023;;non;Commerce de détail;Commerce de détail d’appareils électroménagers en magasin spécialisé;Société par actions simplifiée (SAS)
Toulouse Métropole;2,43E+13;;;CITES UNIES FRANCE;3,10E+13;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;24/10/2023;;non;Solidarité internationale;Réseau d'élus et d’acteurs internationaux;Association loi 1901
Toulouse Métropole;2,43E+13;;;COLLECTIF D Association loi 1901 loi 1901S LE LIEN;4,18E+13;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;01/12/2023;;non;Éducation;Réseau d’Associations;Association loi 1901
Toulouse Métropole;2,43E+13;;;COMITE BASSIN EMPLOI NORD HAUTE GARONNE;4,24E+13;Subvention de Fonctionnement;4200.0;aide en numéraire;unique;04/12/2023;;non;Emploi;Organisme d’accompagnement;Association loi 1901
Toulouse Métropole;2,43E+13;;;COMITE D'ORGANISATION DU CONGRES NATIONAL DES SAPEURS-POMPIERS DE FRAN;8,93E+13;Subvention de Fonctionnement;100000.0;aide en numéraire;unique;12/06/2023;;non;Sécurité;Organisme de coordination;Association loi 1901
